utc,lat,lon,sog_kn,cog_deg,quality,sats,hdop
2024-03-21T17:06:38Z,45.549435,-122.887897,58.05,117.9,0,0,99.0
2024-03-21T17:06:43Z,45.548800,-122.886212,57.46,118.2,1,5,3.2
2024-03-21T17:06:48Z,45.548178,-122.884557,56.48,118.1,1,5,3.2
2024-03-21T17:06:58Z,45.546947,-122.881275,57.98,118.2,2,7,1.5
2024-03-21T17:07:03Z,45.546318,-122.879580,57.93,118.0,2,7,1.5
2024-03-21T17:07:08Z,45.545693,-122.877900,57.36,118.2,2,7,1.5
2024-03-21T17:07:13Z,45.545073,-122.876247,56.67,118.2,2,7,1.5
2024-03-21T17:07:18Z,45.544448,-122.874608,56.44,118.6,2,7,1.5
2024-03-21T17:07:23Z,45.543818,-122.872977,56.53,119.0,2,7,1.5
2024-03-21T17:07:33Z,45.542583,-122.869747,55.58,118.6,2,7,1.5
2024-03-21T17:07:38Z,45.541980,-122.868148,54.73,118.0,2,8,1.5
2024-03-21T17:07:43Z,45.541395,-122.866577,53.46,118.3,2,8,1.5
2024-03-21T17:07:48Z,45.540817,-122.865048,52.48,118.1,2,8,1.5
2024-03-21T17:07:53Z,45.540242,-122.863525,52.92,118.1,2,8,1.5
2024-03-21T17:07:58Z,45.539652,-122.861972,54.92,118.1,2,8,1.5
2024-03-21T17:08:08Z,45.538395,-122.858637,59.67,118.1,2,9,1.3
2024-03-21T17:08:13Z,45.537747,-122.856923,57.61,118.4,2,9,1.3
2024-03-21T17:08:18Z,45.537140,-122.855305,54.40,118.0,2,9,1.3
2024-03-21T17:08:23Z,45.536545,-122.853735,53.90,118.3,2,9,1.3
2024-03-21T17:08:28Z,45.535968,-122.852205,50.90,118.1,2,9,1.3
2024-03-21T17:08:33Z,45.535403,-122.850707,52.61,118.3,2,9,1.3
2024-03-21T17:08:38Z,45.534825,-122.849183,51.43,118.2,2,10,1.0
2024-03-21T17:08:43Z,45.534280,-122.847740,49.28,118.0,2,10,1.0
2024-03-21T17:08:48Z,45.533748,-122.846330,49.03,118.0,2,10,1.0
2024-03-21T17:08:53Z,45.533203,-122.844890,49.89,118.4,2,10,1.0
2024-03-21T17:08:58Z,45.532653,-122.843437,50.33,118.2,2,10,1.0
2024-03-21T17:09:03Z,45.532113,-122.841995,48.82,117.7,2,10,1.0
2024-03-21T17:09:08Z,45.531588,-122.840598,47.74,118.0,2,10,1.0
2024-03-21T17:09:13Z,45.531070,-122.839232,46.57,118.3,2,10,1.0
2024-03-21T17:09:23Z,45.530082,-122.836623,45.94,118.1,2,10,1.0
2024-03-21T17:09:28Z,45.529578,-122.835302,44.53,118.1,2,10,1.0
2024-03-21T17:09:33Z,45.529090,-122.834012,44.92,118.3,1,10,1.0
2024-03-21T17:09:38Z,45.528587,-122.832675,46.83,118.2,1,10,1.0
2024-03-21T17:09:43Z,45.528068,-122.831313,45.97,118.2,1,10,1.0
2024-03-21T17:09:48Z,45.527565,-122.829980,46.21,118.2,1,10,1.0
2024-03-21T17:09:53Z,45.527060,-122.828640,46.71,118.3,2,10,1.0
2024-03-21T17:09:58Z,45.526545,-122.827278,47.47,118.1,2,10,1.0
